"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Geneid"
36922.380267053,1.7836494680449,0.0418541341941374,42.6158491242841,0,0,"Rv3825c"
1688.28641304384,-2.11974458204498,0.0578145437887438,-36.6645560637923,2.68273631748312e-294,5.35876579417254e-291,"Rv1397c"
9090.52097393837,1.71540052288182,0.0492032075474609,34.8635913873533,2.65004619526449e-266,3.52897818336055e-263,"Rv1073"
13953.1786469966,1.88790169725742,0.0555933493676561,33.9591285420157,8.94422922382183e-253,8.93304893729205e-250,"Rv3823c"
42422.3444544025,1.43967646348309,0.0432915975976623,33.2553322901817,1.70936331531875e-242,1.36578128893968e-239,"Rv2934"
2868.02939273642,1.42359229300741,0.044242851239411,32.1767755270548,3.72987462998658e-227,2.4834748577994e-224,"Rv2093c"
2348.93056045987,-1.83234997018161,0.0570816100910109,-32.100530578239,4.33433107658723e-226,2.47366466442371e-223,"Rv3094c"
7485.93806116164,1.17135694126693,0.0368695482953464,31.7703089792064,1.66483732512143e-221,8.31378139232512e-219,"Rv2202c"
60525.7491880046,1.42085124330034,0.0456031947467833,31.156835638156,4.09828587194158e-213,1.81918356204518e-210,"Rv2933"
3739.72650871389,-1.46758625912577,0.0486508449952379,-30.1656889879183,6.67941293779736e-200,2.66842546865005e-197,"Rv0315"
1903.46567667284,-1.69795468712319,0.0569933707283169,-29.7921436374979,4.93830565074922e-195,1.75002271949688e-192,"Rv1240"
3058.49432455373,-1.41707033463767,0.0475685800722947,-29.7900490719716,5.25663895718711e-195,1.75002271949688e-192,"Rv1477"
3461.08206914543,1.29088345173778,0.0434591267726526,29.7033913840645,6.94203795503095e-194,2.13334166387297e-191,"Rv2201"
3866.69772666525,-1.38824328417303,0.0468469067618126,-29.6336168198124,5.51495631218597e-193,1.57373217622735e-190,"Rv0220"
31479.9166635434,1.30148947351421,0.0444380573853539,29.2877220583265,1.48667729606989e-188,3.95951719853282e-186,"Rv2932"
12743.5903522546,-1.45273585663485,0.0497643420106181,-29.1923051313506,2.42833641745004e-187,6.06325249232057e-185,"Rv3478"
11845.8550416883,-1.51309016862084,0.0522415027789649,-28.9633737188374,1.9043420630577e-184,4.47520384818559e-182,"Rv1387"
1459.60791761827,-1.94063411929763,0.0670293642113501,-28.9519995024661,2.64825100636135e-184,5.87764598356311e-182,"Rv0280"
3800.64325339234,1.3988266584557,0.0498192018529436,28.078062402219,1.81553937423852e-173,3.81741042109625e-171,"Rv0197"
5974.87247560747,2.16513710445745,0.0771756533742403,28.0546650374084,3.5039576660709e-173,6.99915543797661e-171,"Rv3824c"
2670.64768313301,-1.53743800959568,0.0562979381660569,-27.3089576577537,3.32021168063828e-164,6.31630745911902e-162,"Rv0157"
1452.86339851891,1.6235497199009,0.0601580094362852,26.9880891192126,2.03925078040213e-160,3.70309403077568e-158,"Rv0116c"
2246.45909632276,-1.38270977109099,0.0520310044835776,-26.5747276035659,1.33036423596985e-155,2.31078483595632e-153,"Rv0651"
1581.7430844387,-1.358902667195,0.0511861400147398,-26.5482544064406,2.69019645907727e-155,4.47805618917237e-153,"Rv0237"
1261.54697785536,1.75221220340374,0.0662592237994272,26.4448042540891,4.18703304259411e-154,6.69087880206538e-152,"Rv3766"
1951.92044486651,1.64762737402794,0.0624422844168005,26.3864044920277,1.96261312129168e-153,3.01563054598472e-151,"Rv3767c"
739.234975086495,2.56707828275328,0.0977715672939792,26.2558773864656,6.12426578426528e-152,9.06164511412585e-150,"Rv2123"
6104.91039648332,1.4872206498108,0.0574078550973438,25.9062221936178,5.66700381218618e-148,8.08560008202993e-146,"Rv3802c"
1717.2745522582,1.39511073626357,0.0540091417668795,25.8310110218989,3.97722058035847e-147,5.47896421328693e-145,"Rv2694c"
2866.2440073297,-1.40700523340661,0.0547310650830996,-25.7076165294849,9.60768838259229e-146,1.27942383628187e-143,"Rv3224"
2792.29852490836,-1.70912683424962,0.0668333508390294,-25.572963390181,3.0501012282703e-144,3.93069496998059e-142,"Rv3477"
2146.15007349037,-1.1474454844011,0.0449282490848959,-25.5395103920675,7.18081252523477e-144,8.96479563697278e-142,"Rv2952"
35596.8641566733,1.19430140575362,0.0472157224478947,25.2945701947397,3.66533393096336e-141,4.43727547096928e-139,"Rv2935"
935.794407492239,-1.79136848113946,0.0718127629797125,-24.9449875873113,2.42029627268744e-137,2.84384812040774e-135,"Rv3032"
5779.09520430201,1.03550757120982,0.0415497130285243,24.9221353345795,4.28273407491325e-137,4.8884350369367e-135,"Rv2091c"
1615.1015764147,1.45629531572153,0.0585050442167871,24.8917907031282,9.13030083669506e-137,1.01320977340547e-134,"Rv0725c"
2405.95341989943,1.2179023762829,0.0496349143082169,24.537211220314,5.92282722824252e-133,6.39505264238618e-131,"Rv3916c"
1508.68229722119,-1.40779629911255,0.0576431964707335,-24.4225925227327,9.84289573366707e-132,1.03479916989474e-129,"Rv0040c"
805.647138312924,-1.73414316265874,0.0710683728630399,-24.40105341937,1.6667123293161e-131,1.7073117322097e-129,"Rv0993"
1829.82320581241,-1.43981705235331,0.0593044809455143,-24.2783855350852,3.31677452338237e-130,3.31262855522815e-128,"Rv2258c"
3431.82971865819,1.34545077479774,0.0554701320022989,24.2554096453561,5.7978662142663e-130,5.64938427463265e-128,"Rv0806c"
2944.00620218545,-1.15828241691155,0.0482593324570193,-24.0012109148659,2.70099444407574e-127,2.56916019144823e-125,"Rv0647c"
4239.21866647841,1.32115101161227,0.055307973289561,23.8871709273358,4.16358481515928e-126,3.8682607759445e-124,"Rv2182c"
