"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Geneid"
3800.64325339234,2.04334303153736,0.0497788685532687,41.0484024832899,0,0,"Rv0197"
3866.69772666525,-2.36528718911153,0.0510130705760366,-46.3662971548831,0,0,"Rv0220"
1581.7430844387,-2.58824114796464,0.0622042478463758,-41.6087524176283,0,0,"Rv0237"
3739.72650871389,-2.36409795824632,0.0542726339321338,-43.5596687863454,0,0,"Rv0315"
2944.00620218545,-2.08465686896268,0.0536127833949054,-38.8835784482097,0,0,"Rv0647c"
9090.52097393837,2.62520092068584,0.04907362411794,53.4951507632007,0,0,"Rv1073"
11845.8550416883,-2.78756181785885,0.0542939969547002,-51.3419894318082,0,0,"Rv1387"
1688.28641304384,-2.78272117217073,0.0666285217164328,-41.7647142767753,0,0,"Rv1397c"
4413.3167904556,-2.00248856313198,0.0518427317896243,-38.6262161349444,0,0,"Rv1436"
1163.26494368202,2.92806471053758,0.0748977190782519,39.0941773203853,0,0,"Rv1471"
3058.49432455373,-2.49869891853881,0.0523149596667512,-47.7626081422147,0,0,"Rv1477"
2031.85947264965,-2.351518283469,0.0597657265773972,-39.3455985249967,0,0,"Rv1751"
11987.6341085673,2.44948697770708,0.0589057814769336,41.5831335446462,0,0,"Rv1908c"
2868.02939273642,2.05669114376518,0.0442036639208394,46.5276169742024,0,0,"Rv2093c"
3461.08206914543,1.96658913403854,0.043370672948779,45.3437542083124,0,0,"Rv2201"
7485.93806116164,1.7916783848378,0.0368576814495348,48.6107186989216,0,0,"Rv2202c"
1417.29409496181,-2.42918111827016,0.0608586169439226,-39.9151548335136,0,0,"Rv2276"
1302.34809716504,2.97370652985308,0.0702882659180455,42.3072968298912,0,0,"Rv2466c"
31479.9166635434,1.71575945939458,0.0444579809745499,38.5928335426832,0,0,"Rv2932"
42422.3444544025,1.74016036942422,0.0433159142492189,40.173695963386,0,0,"Rv2934"
2146.15007349037,-2.11490795468486,0.0533566212913221,-39.6372165909394,0,0,"Rv2952"
2348.93056045987,-3.7001181352604,0.0732861837177043,-50.4886180117267,0,0,"Rv3094c"
12743.5903522546,-2.37111111689779,0.0523288982843335,-45.3116957290818,0,0,"Rv3478"
13953.1786469966,2.7621781104423,0.0555264583346972,49.7452600667002,0,0,"Rv3823c"
5974.87247560747,3.0653707765374,0.0770395641505255,39.7895654049659,0,0,"Rv3824c"
36922.380267053,2.45056983853406,0.0418457641391907,58.5619569613493,0,0,"Rv3825c"
5389.42306598155,-1.78244021650568,0.0464971367322385,-38.3344081329171,1.64029794419294e-321,2.42704807863054e-319,"Rv1612"
1077.49566287143,2.38435271062955,0.0622782797193089,38.2854619841129,1.07014618889214e-320,1.52687035322071e-318,"Rv2884"
60525.7491880046,1.7427766393896,0.0456181454350398,38.2035837443526,2.455506259831e-319,3.38267133301362e-317,"Rv2933"
1903.46567667284,-2.4870410320183,0.0653379886562322,-38.0642423063183,5.00505099842883e-317,6.66505957792751e-315,"Rv1240"
5364.76599424933,-1.82887887590288,0.048297783305398,-37.8667249455002,9.08595531596078e-314,1.17091585442809e-311,"Rv0896"
1263.03684917641,-2.35637720265118,0.0626788016611246,-37.5944839435672,2.64541316964932e-309,3.30263300398408e-307,"Rv1698"
4988.11758763267,1.58212554827593,0.0421160823706834,37.5658289949883,7.7713674373126e-309,9.40806451880722e-307,"Rv1843c"
3180.64032165649,-2.31184820966868,0.0620452613610722,-37.2606732400544,7.11734206139127e-304,8.36287692213474e-302,"Rv1697"
2792.29852490836,-3.00201845878857,0.0809003706734172,-37.1075983187675,2.11879699749415e-301,2.41845542999689e-299,"Rv3477"
2866.2440073297,-2.20248286286498,0.0598043512468752,-36.8281373670124,6.54782026229355e-297,7.26626165218409e-295,"Rv3224"
4410.41713469241,-1.47905922778733,0.0402010612486193,-36.7915468360459,2.52043464401225e-296,2.72138821698079e-294,"Rv1611"
1657.86894560159,-2.14164150115331,0.0587427508411701,-36.457970906809,5.14352345123145e-291,5.4074674178078e-289,"Rv3336c"
5103.98064393537,-1.71569067587989,0.0476043123386218,-36.0406566463084,1.93187931539169e-284,1.97893791409995e-282,"Rv3151"
1717.2745522582,1.94955802310576,0.0541158885299846,36.0256123675313,3.32344754102313e-284,3.31929323159685e-282,"Rv2694c"
3278.82703600939,-2.150426229106,0.0599786490705966,-35.8531954691892,1.63983885149234e-281,1.59784297846632e-279,"Rv1437"
51947.9788581736,1.6701608210872,0.0465982367536698,35.841717142992,2.47536157265087e-281,2.35454035303338e-279,"Rv2931"
1452.86339851891,2.15554747661469,0.0603019668155908,35.7458900670116,7.6636621420006e-280,7.12007680402149e-278,"Rv0116c"
2122.77418397331,-2.07213009186,0.0587701059472839,-35.258233049957,2.56601259381473e-272,2.32982279824769e-270,"Rv3148"
2325.62715439153,-2.50387810316408,0.0710958205308804,-35.2183586104969,1.0470797774924e-271,9.29574158018253e-270,"Rv0693"
7751.09091656606,-1.53180990111793,0.0439934137730998,-34.8190733508062,1.25149060738058e-265,1.08689238619248e-263,"Rv0338c"
3584.7971063303,1.62180534257591,0.0465929239687565,34.8079752123613,1.84230757594962e-265,1.56596143955718e-263,"Rv1472"
1829.82320581241,-2.294712348972,0.0663349394746454,-34.5928158998183,3.23997990076524e-262,2.69660827157441e-260,"Rv2258c"
2670.64768313301,-2.04737746421385,0.0595781775071053,-34.3645534301494,8.53871805646546e-259,6.96166910930194e-257,"Rv0157"
2361.29662384754,-2.50146363150802,0.0728394542086167,-34.3421523223344,1.84454001762569e-258,1.47378747408293e-256,"Rv0694"
2138.54664520014,-2.97881987885937,0.0868902928370883,-34.2825392986579,1.42881002701857e-257,1.11923452116455e-255,"Rv3093c"
2246.45909632276,-1.93162459459607,0.0564332886752381,-34.2284605405893,9.12404148237117e-257,7.00972033116785e-255,"Rv0651"
15652.1687122218,1.78670673150706,0.0523352017054488,34.1396741253228,1.90297098586335e-255,1.43440926198568e-253,"Rv3879c"
5779.09520430201,1.41425551474461,0.0417252735153301,33.8944576175157,8.03979366006653e-252,5.94795845777144e-250,"Rv2091c"
4239.21866647841,1.87414194884286,0.0553470923410557,33.8616153002973,2.44836215268978e-251,1.77840123636285e-249,"Rv2182c"
3176.76188249136,-2.10616751254994,0.0623730489648085,-33.7672688365492,5.96490123308456e-250,4.25531793324514e-248,"Rv2334"
35596.8641566733,1.59460843526636,0.0472356853758075,33.7585539953456,8.00757987211897e-250,5.61233010335356e-248,"Rv2935"
4562.04454575314,1.48818655364711,0.0446285213226556,33.3460869762593,8.30099420728808e-244,5.71766756174411e-242,"Rv3878"
2883.16095580074,-2.06489532833699,0.06207210049946,-33.2660778630321,1.19529516136168e-242,8.09356638922017e-241,"Rv1192"
2456.71775210902,1.83411105477607,0.0552617344824808,33.1895310914919,1.52438150916667e-241,1.01498402152014e-239,"Rv0813c"
12163.6783297015,1.55919071966553,0.0471095327375673,33.0971382873038,3.26739137572559e-240,2.13987353213504e-238,"Rv3240c"
4687.366321391,-1.58936091237159,0.0484948544262115,-32.7738052042185,1.3909588211564e-235,8.96271046858035e-234,"Rv2748c"
